               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.039323,           0.0092531,           0.0072075,             0.75471,             0.90121,               0.975,             0.58761,            0.022258,           0.0045529,            0.019951,            0.008713,            0.008713,            0.008713
                  67,            0.029126,            0.008363,           0.0064113,             0.82511,             0.83333,             0.93071,             0.57914,            0.021399,            0.004647,            0.019783,           0.0086932,           0.0086932,           0.0086932
                  68,            0.033088,           0.0086284,           0.0053965,             0.78218,             0.83333,             0.92086,             0.48676,             0.02402,           0.0041457,            0.021044,           0.0086734,           0.0086734,           0.0086734
                  69,            0.032423,            0.010713,            0.013884,             0.84832,             0.80024,              0.8788,             0.46685,            0.019471,           0.0043745,            0.021815,           0.0086536,           0.0086536,           0.0086536
                  70,            0.034398,            0.010039,            0.008442,             0.78819,             0.83333,             0.90758,             0.60597,            0.017261,            0.004466,            0.024362,           0.0086338,           0.0086338,           0.0086338
                  71,            0.024391,           0.0096918,           0.0039053,             0.76168,             0.83333,             0.77742,             0.37223,            0.023849,           0.0043284,            0.026364,            0.008614,            0.008614,            0.008614
                  72,            0.034234,           0.0091958,           0.0082027,             0.78688,             0.83333,             0.78886,             0.47377,            0.020025,           0.0041503,            0.025544,           0.0085942,           0.0085942,           0.0085942
                  73,            0.037813,           0.0089608,           0.0048734,             0.77857,             0.83333,             0.73971,             0.41991,            0.018421,            0.004066,            0.025143,           0.0085744,           0.0085744,           0.0085744
                  74,            0.032422,            0.010203,           0.0075479,             0.75423,              0.9061,             0.78457,             0.50032,            0.015759,           0.0041393,            0.023774,           0.0085546,           0.0085546,           0.0085546
                  75,            0.030238,           0.0089679,           0.0085609,             0.77788,             0.83333,             0.76188,             0.36686,            0.022324,           0.0043813,            0.023209,           0.0085348,           0.0085348,           0.0085348
                  76,            0.040411,           0.0082965,           0.0076034,             0.86343,             0.92357,             0.95375,             0.56138,            0.019617,           0.0043946,            0.011216,            0.008515,            0.008515,            0.008515
                  77,            0.030361,           0.0084695,           0.0055068,             0.61373,             0.91667,             0.80754,             0.52137,            0.018887,           0.0049959,            0.010036,           0.0084952,           0.0084952,           0.0084952
                  78,            0.026772,           0.0090423,           0.0078638,             0.75505,             0.87447,               0.929,             0.59948,            0.016862,           0.0055262,            0.026722,           0.0084754,           0.0084754,           0.0084754
                  79,            0.025081,            0.010994,           0.0055109,             0.74648,             0.89042,             0.94232,             0.65005,            0.016329,           0.0044325,            0.021374,           0.0084556,           0.0084556,           0.0084556
                  80,            0.032373,            0.011824,            0.009897,             0.78307,              0.9127,             0.94232,             0.51722,            0.022252,           0.0043213,            0.011074,           0.0084358,           0.0084358,           0.0084358
                  81,            0.036438,             0.00855,           0.0055619,             0.74128,             0.93509,             0.88893,             0.57028,            0.016491,           0.0043453,           0.0084141,            0.008416,            0.008416,            0.008416
                  82,            0.034685,           0.0093586,            0.016071,             0.76865,             0.90651,             0.86257,             0.65224,            0.013746,           0.0045323,             0.01444,           0.0083962,           0.0083962,           0.0083962
                  83,            0.025061,            0.010012,             0.00313,             0.75389,             0.90218,             0.85157,             0.55856,            0.014727,           0.0047261,            0.023134,           0.0083764,           0.0083764,           0.0083764
                  84,            0.037962,            0.010972,           0.0081318,             0.62305,             0.83333,             0.77696,             0.38792,            0.022207,           0.0044751,            0.028389,           0.0083566,           0.0083566,           0.0083566
                  85,             0.03612,           0.0084162,           0.0055478,             0.69038,             0.83895,               0.796,             0.56575,            0.017481,           0.0046339,            0.035693,           0.0083368,           0.0083368,           0.0083368
                  86,            0.032149,            0.009827,           0.0091827,              0.6889,             0.78572,              0.6953,             0.38328,            0.017674,           0.0052729,            0.039356,            0.008317,            0.008317,            0.008317
                  87,            0.030841,           0.0094006,            0.011957,             0.71649,             0.67666,             0.66804,             0.40569,            0.022797,           0.0064661,            0.039888,           0.0082972,           0.0082972,           0.0082972
                  88,            0.033994,            0.010366,            0.011351,             0.72583,              0.7089,             0.74625,             0.47119,              0.0177,           0.0061475,            0.037424,           0.0082774,           0.0082774,           0.0082774
                  89,            0.031343,            0.011742,            0.017641,             0.72262,             0.75173,               0.863,             0.55114,            0.019053,             0.00573,            0.034128,           0.0082576,           0.0082576,           0.0082576
                  90,            0.026836,           0.0091483,           0.0074824,             0.74838,               0.757,               0.796,             0.46611,            0.015624,           0.0050392,             0.03232,           0.0082378,           0.0082378,           0.0082378
                  91,            0.021064,            0.010361,           0.0045328,             0.78237,             0.76992,               0.796,             0.39964,            0.022836,           0.0048428,            0.028425,            0.008218,            0.008218,            0.008218
                  92,            0.040418,            0.011529,           0.0092832,             0.71508,             0.89329,               0.796,             0.58644,            0.014457,           0.0044289,            0.028481,           0.0081982,           0.0081982,           0.0081982
                  93,            0.033249,            0.010563,           0.0083099,             0.74394,             0.82827,             0.77243,             0.46116,            0.019132,           0.0052835,            0.026148,           0.0081784,           0.0081784,           0.0081784
                  94,            0.031129,           0.0097723,           0.0097316,             0.78051,             0.83333,             0.77243,             0.55815,            0.014649,           0.0044611,            0.022499,           0.0081586,           0.0081586,           0.0081586
                  95,            0.030288,           0.0088917,           0.0068719,             0.78187,             0.83333,             0.77243,             0.41527,            0.016272,           0.0044417,            0.021491,           0.0081388,           0.0081388,           0.0081388
                  96,             0.02484,            0.010407,           0.0048658,              0.6831,             0.88131,             0.76029,             0.42308,            0.022532,           0.0050979,            0.021339,            0.008119,            0.008119,            0.008119
                  97,            0.028325,           0.0090924,           0.0051618,             0.77152,             0.83333,             0.77243,             0.41647,            0.019517,           0.0045625,            0.020423,           0.0080992,           0.0080992,           0.0080992
                  98,             0.02534,           0.0083891,           0.0039105,             0.77371,             0.83333,             0.77243,             0.41435,            0.018412,           0.0045318,             0.01959,           0.0080794,           0.0080794,           0.0080794
                  99,            0.024166,           0.0081805,           0.0074646,             0.75113,             0.91373,               0.863,             0.55944,            0.016038,           0.0046939,            0.016161,           0.0080596,           0.0080596,           0.0080596
                 100,            0.033686,           0.0094049,           0.0075116,             0.75265,              0.9142,             0.81817,             0.37256,            0.026783,           0.0047134,             0.01606,           0.0080398,           0.0080398,           0.0080398
                 101,            0.034981,           0.0092318,           0.0055759,              0.7511,             0.91317,             0.81817,             0.54357,            0.018272,           0.0045346,            0.016262,             0.00802,             0.00802,             0.00802
                 102,            0.031735,           0.0088772,           0.0053068,             0.75523,             0.90653,             0.87063,             0.61723,            0.016387,           0.0044791,            0.016098,           0.0080002,           0.0080002,           0.0080002
                 103,            0.034776,           0.0099816,           0.0075726,             0.75011,             0.91474,               0.796,             0.45323,            0.020557,           0.0042842,            0.017151,           0.0079804,           0.0079804,           0.0079804
                 104,            0.035683,           0.0096485,            0.004094,             0.75477,             0.90254,               0.796,             0.50739,            0.017282,           0.0042713,            0.017523,           0.0079606,           0.0079606,           0.0079606
                 105,            0.030417,           0.0083404,           0.0034773,             0.74501,             0.88446,             0.74625,             0.42787,            0.022369,           0.0043968,            0.019551,           0.0079408,           0.0079408,           0.0079408
                 106,            0.026096,           0.0079787,           0.0061682,             0.76804,             0.87021,               0.796,             0.44254,            0.018595,           0.0043415,            0.020693,            0.007921,            0.007921,            0.007921
                 107,            0.032636,           0.0077471,           0.0068477,             0.76098,             0.88735,               0.796,             0.47423,            0.019189,             0.00444,            0.021384,           0.0079012,           0.0079012,           0.0079012
                 108,             0.02953,           0.0091696,           0.0045006,             0.76493,             0.88003,             0.78457,             0.53686,            0.016135,           0.0044844,            0.021966,           0.0078814,           0.0078814,           0.0078814
                 109,            0.030674,            0.008658,           0.0048845,             0.76398,             0.89152,             0.78457,             0.48999,            0.019387,           0.0046122,            0.021658,           0.0078616,           0.0078616,           0.0078616
                 110,            0.027302,           0.0096164,           0.0055113,             0.75725,             0.90408,               0.776,             0.52889,            0.015724,            0.004819,            0.021207,           0.0078418,           0.0078418,           0.0078418
